0052,SOL,mainnet,SOL-mainnet,,82,sol-mainnet,1
0053,SOL,mainnet-beta,SOL-mainnet-beta,,83,sol-mainnet-beta,1
0054,SOL,testnet,SOL-testnet,,84,sol-testnet,1
0055,SOL,devnet,SOL-devnet,,85,sol-devnet,1
0056,TOMO,mainnet,TOMO-mainnet,,86,tomo-mainnet,1
0057,TRX,mainnet,TRX-mainnet,,87,trx-mainnet,1
0058,TRX,shasta,TRX-shasta,,88,trx-shasta,1
0059,UFO,mainnet,UFO-mainnet,Unknown Fair Object,89,ufo-mainnet,1
005A,VTC,mainnet,VTC-mainnet,Vertcoin,90,vtc-mainnet,1
005B,WAVES,w,WAVES-w,,91,waves,1
005C,XLM,testnet(horizon),XLM-testnet(horizon),,92,xlm-testnet,1
005D,XLM,mainnet,XLM-mainnet,,93,xlm-mainnet,1
005E,XMR,mainnet,XMR-mainnet,,94,xmr-mainnet,1
005F,XMR,stagenet,XMR-stagenet,,95,xmr-stagenet,1
0060,XMR,testnet,XMR-testnet,,96,xmr-testnet,1
0061,XRP,devnet,XRP-devnet,,97,xrp-devnet,1
0062,XRP,testnet,XRP-testnet,,98,xrp-testnet,1
0063,XRP,mainnet,XRP-mainnet,,99,xrp-mainnet,1
0064,XTZ,alphanet,XTZ-alphanet,,100,xtz-alphanet,1
0065,XTZ,mainnet,XTZ-mainnet,,101,xtz-mainnet,1
0066,XZC,mainnet,XZC-mainnet,,102,xzc-mainnet,1
0067,XZC,mainnet,XZC-mainnet,zcoin,103,xzc-mainnet,1
0068,XZC,testnet,XZC-testnet,,104,xzc-testnet,1
0069,ZIL,mainnet,ZIL-mainnet,Ziliqa Mainnet,105,zil-mainnet,1
006A,ZIL,devnet,ZIL-devnet,Ziliqua Testnet,106,zil-devnet,1
006B,IPFS,mainnet,IPFS-mainnet,IPFS,107,ipfs-mainnet,1
006C,MATIC,testnetV3,MATIC-testnetV3,,108,matic-testnetv3,1
006D,MATIC,betanetV2,MATIC-betanetV2,,109,matic-betanetv2,1
